Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryBand,TenureBand,AgeBand
44,Yes,Travel_Rarely,1395,Human Resources,18,1,Life Sciences,1,1,1,Male,89,2,2,Manager,1,Single,5575,11991,2,Y,No,14,3,2,80,2,17,6,1,8,6,4,2,₹4K–₹7K,6–10 years,36–45
32,No,Non-Travel,1436,Research & Development,5,3,Life Sciences,1,2,3,Female,77,4,2,Laboratory Technician,3,Divorced,6564,22171,3,Y,Yes,22,3,4,80,0,5,3,2,2,2,0,0,₹4K–₹7K,2–3 years,26–35
38,No,Travel_Rarely,461,Research & Development,9,2,Life Sciences,1,3,2,Female,96,4,1,Research Scientist,3,Married,3850,22308,1,Y,No,24,3,1,80,3,11,2,2,6,4,0,4,<₹4K,6–10 years,36–45
32,No,Non-Travel,1157,Research & Development,21,4,Life Sciences,1,4,2,Female,68,1,3,Manufacturing Director,1,Married,9300,3004,6,Y,No,12,3,1,80,3,9,3,1,5,4,4,4,₹7K–₹12K,4–5 years,26–35
38,Yes,Travel_Rarely,856,Sales,12,1,Technical Degree,1,5,1,Male,46,4,5,Sales Executive,2,Married,9154,10921,4,Y,No,22,3,1,80,0,2,5,2,2,2,0,0,₹7K–₹12K,2–3 years,36–45
44,No,Travel_Rarely,1024,Research & Development,1,3,Life Sciences,1,6,2,Male,98,2,3,Laboratory Technician,2,Married,5857,7245,6,Y,No,12,4,2,80,3,23,5,1,14,9,4,8,₹4K–₹7K,10+ years,36–45
40,Yes,Travel_Frequently,963,Research & Development,9,1,Medical,1,7,4,Male,53,2,3,Research Scientist,2,Married,8048,20921,2,Y,No,22,4,1,80,2,9,5,4,7,5,5,1,₹7K–₹12K,6–10 years,36–45
36,No,Travel_Rarely,1184,Research & Development,16,1,Life Sciences,1,8,4,Male,62,3,3,Healthcare Representative,4,Divorced,7096,6537,3,Y,No,21,3,1,80,0,7,6,1,1,0,0,0,₹7K–₹12K,<2 years,36–45
18,No,Travel_Rarely,1189,Research & Development,5,1,Technical Degree,1,9,3,Female,38,4,5,Research Director,1,Single,10798,3350,1,Y,No,11,3,2,80,2,0,3,2,0,0,0,0,₹7K–₹12K,<2 years,18–25
41,No,Travel_Rarely,986,Research & Development,9,1,Life Sciences,1,10,3,Female,30,2,3,Research Scientist,1,Married,7059,3038,1,Y,No,21,3,1,80,0,16,4,4,11,9,4,8,₹7K–₹12K,10+ years,36–45
40,No,Travel_Frequently,432,Research & Development,14,1,Medical,1,11,1,Male,85,2,2,Research Scientist,3,Married,6111,7453,3,Y,No,17,3,2,80,1,14,0,1,7,3,1,1,₹4K–₹7K,6–10 years,36–45
41,No,Travel_Rarely,958,Research & Development,14,2,Life Sciences,1,12,2,Female,37,1,3,Manufacturing Director,2,Divorced,8050,18955,0,Y,No,18,3,4,80,2,19,1,2,19,8,10,5,₹7K–₹12K,10+ years,36–45
40,No,Non-Travel,631,Research & Development,15,5,Life Sciences,1,13,2,Male,43,1,2,Laboratory Technician,1,Married,6780,19612,1,Y,No,15,3,1,80,2,9,6,3,9,6,2,4,₹4K–₹7K,6–10 years,36–45
20,Yes,Travel_Rarely,658,Research & Development,7,5,Life Sciences,1,14,2,Male,50,3,3,Manager,1,Single,6976,3219,4,Y,No,20,3,3,80,0,0,3,3,0,0,0,0,₹4K–₹7K,<2 years,18–25
41,No,Travel_Rarely,987,Sales,13,3,Medical,1,15,2,Female,61,3,5,Manager,4,Single,12163,12423,6,Y,No,25,4,1,80,1,12,4,4,7,2,0,2,₹12K+,6–10 years,36–45
32,No,Travel_Rarely,120,Research & Development,14,4,Life Sciences,1,16,1,Male,32,1,3,Laboratory Technician,3,Single,6477,2890,2,Y,No,13,4,2,80,1,11,0,2,11,4,4,1,₹4K–₹7K,10+ years,26–35
